URL,PublishDate,Article_ID,source,entity,sentiment
https://nasional.kompas.com/read/2023/02/27/23444401/richard-eliezer-dikembalikan-lagi-ke-rutan-bareskrim,2023-02-27 23:44:44,23444401,kompas,wakil ketua lembaga perlindungan,neutral
https://nasional.kompas.com/read/2023/02/27/23444401/richard-eliezer-dikembalikan-lagi-ke-rutan-bareskrim,2023-02-27 23:44:44,23444401,kompas,saksi,neutral
https://nasional.kompas.com/read/2023/02/27/23444401/richard-eliezer-dikembalikan-lagi-ke-rutan-bareskrim,2023-02-27 23:44:44,23444401,kompas,dan,neutral
https://nasional.kompas.com/read/2023/02/27/23444401/richard-eliezer-dikembalikan-lagi-ke-rutan-bareskrim,2023-02-27 23:44:44,23444401,kompas,korban,neutral
https://nasional.kompas.com/read/2023/02/27/23444401/richard-eliezer-dikembalikan-lagi-ke-rutan-bareskrim,2023-02-27 23:44:44,23444401,kompas,( lpsk,neutral
https://nasional.kompas.com/read/2023/02/27/23444401/richard-eliezer-dikembalikan-lagi-ke-rutan-bareskrim,2023-02-27 23:44:44,23444401,kompas,susilaningtyas,neutral
https://nasional.kompas.com/read/2023/02/27/23444401/richard-eliezer-dikembalikan-lagi-ke-rutan-bareskrim,2023-02-27 23:44:44,23444401,kompas,bharada richard eliezer,neutral
https://nasional.kompas.com/read/2023/02/27/23444401/richard-eliezer-dikembalikan-lagi-ke-rutan-bareskrim,2023-02-27 23:44:44,23444401,kompas,bareskrim mabes polri,neutral
https://nasional.kompas.com/read/2023/02/27/23444401/richard-eliezer-dikembalikan-lagi-ke-rutan-bareskrim,2023-02-27 23:44:44,23444401,kompas,richard,neutral
https://nasional.kompas.com/read/2023/02/27/23420221/anggaran-untuk-pangkalan-al-di-nabire-macet-ini-penjelasan-kadispenal,2023-02-27 23:42:02,23420221,kompas,kepala dinas penerangan angkatan laut,neutral
